Name,",mse",si_mse,angular,psnr
art_studio_4k.exr,0.6033753,0.40492976,2.934390989964303,6.113498950495826
artist_workshop_4k.exr,0.39347628,0.077885024,5.321285565190249,8.848913475129226
autoshop_01_4k.exr,0.76529264,0.08918931,2.435199899340498,2.441397059149282
autumn_crossing_4k.exr,2.5130591,0.48124287,1.6155992679061144,2.872458643284367
autumn_forest_01_4k.exr,0.74366444,0.2260984,1.8983946659269137,4.784516640052672
autumn_forest_02_4k.exr,0.9430916,0.29115042,2.552801523128703,3.5959279233444406
autumn_forest_03_4k.exr,1.0916414,0.25659335,3.675861816760754,4.575413194335393
autumn_forest_04_4k.exr,0.45402437,0.2863536,5.17799769903189,13.485064028309136
autumn_ground_4k.exr,2.8058715,0.8248293,5.052651464445159,5.105815719292458
autumn_hockey_4k.exr,3.768914,1.043422,2.7156430896180153,2.4821768502138792
autumn_meadow_4k.exr,0.30556098,0.27143037,5.915386394476187,15.598270147231627
autumn_road_4k.exr,0.6982171,0.17997558,1.0104381148283834,7.125911536494516
aviation_museum_4k.exr,0.52766675,0.2346596,2.3523916051051144,10.85303365946007
aviation_museum_hill_4k.exr,0.48556238,0.13560608,1.7574154443834897,9.740190820913327
balcony_4k.exr,0.58327985,0.19297904,9.112167925925016,9.46042875969435
ballroom_4k.exr,0.33459386,0.18996687,3.2245377268496065,10.249138674157287
beach_parking_4k.exr,0.5381438,0.15321858,4.608011656023451,7.8531963010758385
belfast_farmhouse_4k.exr,2.5722022,1.4052229,11.221809736294293,10.38227645116088
belfast_open_field_4k.exr,0.6590775,0.15910827,1.2367816914244152,7.73858917821621
belfast_sunset_puresky_4k.exr,0.9196515,0.18976144,1.7488802766628295,7.868653400888782
bell_park_dawn_4k.exr,0.17006947,0.15422349,5.716784823410405,17.035886801894947
bell_park_pier_4k.exr,0.46258715,0.070073,2.0739396167404887,8.044753097634626
belvedere_4k.exr,1.7920537,0.779262,4.4646004864124205,9.199377522321925
bergen_4k.exr,0.1698849,0.13670534,5.811304752809211,15.995037613716487
bethnal_green_entrance_4k.exr,0.8913848,0.24151586,3.6207109416619,4.320310560673898
between_bridges_4k.exr,0.6939748,0.24789676,1.6614612014750691,9.894186235125531
binnenalster_4k.exr,0.7678241,0.19139037,3.2265146778531357,7.585772194458582
birbeck_street_underpass_4k.exr,0.2242549,0.1815157,14.890335760509492,11.998085534337598
bismarckturm_hillside_4k.exr,0.65987766,0.18793565,7.62463678825066,9.740907379102968
blau_river_4k.exr,0.340489,0.12733494,8.169596085150376,11.930618127752535
blaubeuren_church_square_4k.exr,0.13060762,0.10447539,5.025340979031824,16.650684629812464
blaubeuren_hillside_4k.exr,0.12426761,0.1194882,8.151786468323403,16.055069321875116
blinds_4k.exr,0.593835,0.11133695,7.623500687011736,12.64017312385615
blocky_photo_studio_4k.exr,0.72758716,0.18745041,2.6694066036651516,7.185692503539418
blue_grotto_4k.exr,1.520649,0.81095326,18.073300248881136,5.009285801398063
blue_lagoon_4k.exr,0.81198245,0.22090235,2.1733529430929557,8.576951810066438
blue_lagoon_night_4k.exr,0.46113622,0.22183397,6.666873323573134,8.849570650341645
brick_factory_01_4k.exr,0.5420218,0.5084942,15.585354547667375,12.234182936453696
brick_factory_02_4k.exr,0.48611584,0.3408669,10.984014536867036,11.38854323900803
brown_photostudio_02_4k.exr,0.8965354,0.16182467,1.838484391384029,6.386027819894327
brown_photostudio_03_4k.exr,0.53429854,0.09155947,1.1889628456089538,8.74855742603465
brown_photostudio_04_4k.exr,0.5304751,0.11992512,0.6257166504219928,6.499538940789918
brown_photostudio_05_4k.exr,0.5254522,0.14808433,0.5805680482020908,6.835685937678702
brown_photostudio_06_4k.exr,0.48089135,0.22735749,1.125038959471872,7.642075884470296
brown_photostudio_07_4k.exr,0.32844737,0.2875496,1.4689741987105809,15.135232300456343
bush_restaurant_4k.exr,0.34542114,0.17483065,5.4958199183520575,11.812007206030856
cabin_4k.exr,1.3256979,0.860086,8.83779632623738,3.7313957838558993
canary_wharf_4k.exr,1.0545862,0.19603013,3.8963412641813115,6.36055448733123
carpentry_shop_01_4k.exr,1.1036757,0.28276718,8.379935874497788,6.992712331678124
carpentry_shop_02_4k.exr,1.3629305,0.49955186,7.666295188041971,4.555402191819276
castel_st_angelo_roof_4k.exr,0.9291723,0.28789172,1.1045086474438444,2.6975699864913376
cave_wall_4k.exr,0.5196593,0.2946692,16.465564505944993,12.391022112935346
cayley_interior_4k.exr,0.47185853,0.39955547,25.29075516093219,11.528732288041583
champagne_castle_1_4k.exr,0.5859809,0.15827882,4.169979421490982,8.52415809043224
chapmans_drive_4k.exr,0.9062376,0.57125705,16.464213739321707,13.62026278724423
childrens_hospital_4k.exr,0.3459801,0.14388193,11.007012669222936,7.591131684743093
chinese_garden_4k.exr,0.195067,0.1020061,3.0575721092011507,13.089638907498205
christmas_photo_studio_01_4k.exr,0.53141296,0.38980183,13.526118783826332,8.690592421241135
christmas_photo_studio_02_4k.exr,0.38979122,0.09162155,1.5134785717645862,10.032892063711659
christmas_photo_studio_03_4k.exr,0.11678147,0.10678406,6.269783525284228,19.36861785854324
christmas_photo_studio_05_4k.exr,0.52021205,0.120677814,1.1103724489204674,6.669230776248493
christmas_photo_studio_06_4k.exr,0.69980705,0.17310484,0.8220208768688189,6.211186675108696
cinema_hall_4k.exr,0.7221154,0.27562234,3.589185955965051,5.65539330427828
cinema_lobby_4k.exr,0.89583075,0.47034234,28.55315699260976,2.6109075190242774
circus_arena_4k.exr,0.7061811,0.3308419,27.109390570381347,5.769205358664516
circus_maximus_1_4k.exr,0.80023056,0.21003643,4.297262796140612,6.940665424687441
